 Produção Ambulatorial do SUS - Rio Grande do Sul - por local de atendimento
Qtd.apresentada por Procedimento e Ano/mês atendimento
Município: 430300 Cachoeira do Sul
Documento registro: ..APAC - Procedimento Principal
Período:Jan-Jul/2022
"Procedimento";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"Total"
"0604650027 LATANOPROSTA 0,05 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 2,5 ML)";6;3;3;8;7;-;-;27
"0604650035 TRAVOPROSTA 0,04 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 2,5 ML)";37;32;31;32;37;-;-;169
"0604660014 BRINZOLAMIDA 10 MG/ML SUSPENSAO OFTALMICA (POR FRASCO DE 5 ML)";9;10;11;15;11;-;-;56
"0604660022 DORZOLAMIDA 20 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 5 ML)";9;12;17;9;13;-;-;60
"0604670010 BRIMONIDINA 2,0 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 5 ML)";7;11;7;10;9;-;-;44
"0604680031 RITUXIMABE 500 MG INJETAVEL (POR FRASCO- AMPOLA DE 5O ML ) (BIOSSIMILAR A)";-;-;-;4;-;-;-;4
"0604690010 TOCILIZUMABE 20 MG/ML INJETAVEL (POR FRASCO-AMPOLA DE 4 ML)";37;43;57;50;45;-;-;232
"0604690029 SECUQUINUMABE 150 MG/ML SOLUCAO INJETAVEL (POR SERINGA PREENCHIDA)";17;25;18;13;22;-;-;95
"0604690037 USTEQUINUMABE 45 MG/0,5ML SOLUCAO INJETAVEL (POR SERINGA PREENCHIDA)";3;-;1;1;4;-;-;9
"0604700016 CALCIPOTRIOL 50 MCG/G POMADA (POR BISNAGA DE 30 G)";6;11;17;17;1;-;-;52
"0604740018 TIMOLOL 5,0 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 5 ML)";-;-;-;-;2;-;-;2
"0604750048 BOSENTANA 125MG (POR COMRIMIDO REVESTIDO)";-;56;-;-;-;-;-;56
"0604760051 LEDIPASVIR 90 MG / SOFOSBUVIR 400 MG (POR COMPRIMIDO)";28;-;-;-;-;-;-;28
"0604760086 SOFOSBUVIR 400MG + VELPATASVIR 100 MG (POR COMPRIMIDO)";28;-;-;-;-;-;-;28
"0604770014 CINACALCETE 30 MG (POR COMPRIMIDO)";30;60;60;-;30;-;-;180
"0604770030 PARICALCITOL 5,0 MCG/ML SOLUCAO INJETAVEL (AMPOLA COM 1 ML)";12;-;-;-;-;-;-;12
"0604780010 INSULINA ANALOGA DE ACAO RAPIDA 100 UI/ML (TUBETES DE 3ML)";213;215;209;195;240;-;-;1072
"0604780028 INSULINA ANALOGA DE ACAO RAPIDA 100 UI/ML (TUBETES DE 3ML) (CRIANCAS MENORES DE 4 ANOS E GRAVID";1;1;1;2;2;-;-;7
"0604790015 NUSINERSENA 2,4MG/ML SOLUCAO INJETAVEL (POR FRASCO AMPOLA DE 5 ML)";-;-;-;-;1;-;-;1
"0604800010 ENOXAPARINA SODICA 40 MG/0,4 ML SOLUCAO INJETAVEL (POR SERINGA PREENCHIDA)";240;225;255;315;205;-;-;1240
"0604820011 DAPAGLIFLOZINA 10 MG (POR COMPRIMIDO)";270;196;301;150;30;-;-;947
"0604830017 SACUBITRIL VALSARTANA SODICA HIDRATADA 50 MG (POR COMPRIMIDO)";624;560;356;-;262;-;-;1802
"0604830025 SACUBITRIL VALSARTANA SODICA HIDRATADA 100 MG (POR COMPRIMIDO)";90;86;150;90;120;-;-;536
"0604840012 OMALIZUMABE 150MG (POR FRASCO AMPOLA DE 2ML)";-;-;-;7;7;-;-;14
"0604840020 MEPOLIZUMABE 100 MG/ML SOLUCAO INJETAVEL";-;-;-;2;2;-;-;4
"0604850018 BROMETO DE UMECLIDINIO 62,5 MCG + TRIFENATATO DE VILANTEROL 25 MCG (PO INALANTE)";-;2;3;4;4;-;-;13
"0604850026 BROMETO DE TIOTROPIO MONOIDRATADO 2,5 MCG + CLORIDRATO DE OLODATEROL 2,5 MCG (SOLUCAO PARA INALAC";-;-;-;-;3;-;-;3
"Total";109306;104318;113873;104237;110897;2054;1982;546667
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
